sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
0,0.0,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
1,0.01,1024,1019,1982,1977,1,0,1,27.3161295674845,27.182750028580767,48.388671875
2,0.02,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
3,0.03,1024,1018,1982,1977,1,0,1,27.3161295674845,27.156074120800017,48.388671875
4,0.04,1024,1019,1982,1977,1,0,1,27.3161295674845,27.182750028580767,48.388671875
5,0.05,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
6,0.06,1024,1018,1982,1977,1,0,1,27.3161295674845,27.156074120800017,48.388671875
7,0.07,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
8,0.08,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
9,0.09,1024,1016,1982,1977,1,0,1,27.3161295674845,27.102722305238526,48.388671875
10,0.1,1024,1018,1984,1977,1,0,1,27.3161295674845,27.156074120800017,48.4375
11,0.11,1024,1021,1982,1977,1,0,1,27.3161295674845,27.236101844142258,48.388671875
12,0.12,1024,1017,1979,1977,1,0,1,27.3161295674845,27.12939821301927,48.3154296875
13,0.13,1024,1020,1983,1977,1,0,1,27.3161295674845,27.209425936361512,48.4130859375
14,0.14,1024,1016,1980,1977,1,0,1,27.3161295674845,27.102722305238526,48.33984375
15,0.15,1024,1018,1984,1977,1,0,1,27.3161295674845,27.156074120800017,48.4375
16,0.16,1024,1021,1982,1977,1,0,1,27.3161295674845,27.236101844142258,48.388671875
17,0.17,1024,1016,1979,1977,1,0,1,27.3161295674845,27.102722305238526,48.3154296875
18,0.18,1024,1020,1984,1977,1,0,1,27.3161295674845,27.209425936361512,48.4375
19,0.19,1024,1019,1980,1977,1,0,1,27.3161295674845,27.182750028580767,48.33984375
20,0.2,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
21,0.21,1024,1018,1982,1977,1,0,1,27.3161295674845,27.156074120800017,48.388671875
22,0.22,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
23,0.23,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
24,0.24,1024,1019,1982,1977,1,0,1,27.3161295674845,27.182750028580767,48.388671875
25,0.25,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
26,0.26,1024,1018,1982,1977,1,0,1,27.3161295674845,27.156074120800017,48.388671875
27,0.27,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
28,0.28,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
29,0.29,1024,1019,1982,1977,1,0,1,27.3161295674845,27.182750028580767,48.388671875
30,0.3,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
31,0.31,1024,1018,1982,1977,1,0,1,27.3161295674845,27.156074120800017,48.388671875
32,0.32,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
33,0.33,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
34,0.34,1024,1018,1982,1977,1,0,1,27.3161295674845,27.156074120800017,48.388671875
35,0.35,1024,1019,1982,1977,1,0,1,27.3161295674845,27.182750028580767,48.388671875
36,0.36,1024,1017,1981,1977,1,0,1,27.3161295674845,27.12939821301927,48.3642578125
37,0.37,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
38,0.38,1024,1022,1982,1977,1,0,1,27.3161295674845,27.262777751923004,48.388671875
39,0.39,1024,1019,1978,1977,1,0,1,27.3161295674845,27.182750028580767,48.291015625
40,0.4,1024,1021,1981,1977,1,0,1,27.3161295674845,27.236101844142258,48.3642578125
41,0.41,1024,1017,1979,1977,1,0,1,27.3161295674845,27.12939821301927,48.3154296875
42,0.42,1024,1019,1983,1977,1,0,1,27.3161295674845,27.182750028580767,48.4130859375
43,0.43,1024,1023,1981,1977,1,0,1,27.3161295674845,27.289453659703753,48.3642578125
44,0.44,1024,1018,1977,1977,1,0,1,27.3161295674845,27.156074120800017,48.2666015625
45,0.45,1024,1021,1982,1977,1,0,1,27.3161295674845,27.236101844142258,48.388671875
46,0.46,1024,1020,1979,1977,1,0,1,27.3161295674845,27.209425936361512,48.3154296875
47,0.47,1024,1019,1980,1977,1,0,1,27.3161295674845,27.182750028580767,48.33984375
48,0.48,1024,1020,1981,1977,1,0,1,27.3161295674845,27.209425936361512,48.3642578125
49,0.49,1024,1018,1980,1977,1,0,1,27.3161295674845,27.156074120800017,48.33984375
50,0.5,1024,1020,1982,1977,1,0,1,27.3161295674845,27.209425936361512,48.388671875
51,0.51,1024,1021,1980,1977,1,0,1,27.3161295674845,27.236101844142258,48.33984375
52,0.52,1024,1019,1979,1977,1,0,1,27.3161295674845,27.182750028580767,48.3154296875
53,0.53,1024,1020,1981,1977,1,0,1,27.3161295674845,27.209425936361512,48.3642578125
54,0.54,1024,1019,1980,1977,1,0,1,27.3161295674845,27.182750028580767,48.33984375
55,0.55,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
56,0.56,1024,1020,1981,1977,1,0,1,27.3161295674845,27.209425936361512,48.3642578125
57,0.57,1024,1019,1980,1977,1,0,1,27.3161295674845,27.182750028580767,48.33984375
58,0.58,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
59,0.59,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
60,0.6,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
61,0.61,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
62,0.62,1024,1018,1982,1977,1,0,1,27.3161295674845,27.156074120800017,48.388671875
63,0.63,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
64,0.64,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
65,0.65,1024,1021,1982,1977,1,0,1,27.3161295674845,27.236101844142258,48.388671875
66,0.66,1024,1017,1979,1977,1,0,1,27.3161295674845,27.12939821301927,48.3154296875
67,0.67,1024,1020,1983,1977,1,0,1,27.3161295674845,27.209425936361512,48.4130859375
68,0.68,1024,1016,1980,1977,1,0,1,27.3161295674845,27.102722305238526,48.33984375
69,0.69,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
70,0.7,1024,1020,1984,1977,1,0,1,27.3161295674845,27.209425936361512,48.4375
71,0.71,1024,1016,1980,1977,1,0,1,27.3161295674845,27.102722305238526,48.33984375
72,0.72,1024,1019,1984,1977,1,0,1,27.3161295674845,27.182750028580767,48.4375
73,0.73,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
74,0.74,1024,1016,1982,1977,1,0,1,27.3161295674845,27.102722305238526,48.388671875
75,0.75,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
76,0.76,1024,1015,1984,1977,1,0,1,27.3161295674845,27.07604639745778,48.4375
77,0.77,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
78,0.78,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
79,0.79,1024,1015,1983,1977,1,0,1,27.3161295674845,27.07604639745778,48.4130859375
80,0.8,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
81,0.81,1024,1015,1984,1977,1,0,1,27.3161295674845,27.07604639745778,48.4375
82,0.82,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
83,0.83,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
84,0.84,1024,1016,1983,1977,1,0,1,27.3161295674845,27.102722305238526,48.4130859375
85,0.85,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
86,0.86,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
87,0.87,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
88,0.88,1024,1015,1984,1977,1,0,1,27.3161295674845,27.07604639745778,48.4375
89,0.89,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
90,0.9,1024,1015,1984,1977,1,0,1,27.3161295674845,27.07604639745778,48.4375
91,0.91,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
92,0.92,1024,1019,1984,1977,1,0,1,27.3161295674845,27.182750028580767,48.4375
93,0.93,1024,1016,1981,1977,1,0,1,27.3161295674845,27.102722305238526,48.3642578125
94,0.94,1024,1018,1984,1977,1,0,1,27.3161295674845,27.156074120800017,48.4375
95,0.95,1024,1014,1982,1977,1,0,1,27.3161295674845,27.04937048967703,48.388671875
96,0.96,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
97,0.97,1024,1020,1984,1977,1,0,1,27.3161295674845,27.209425936361512,48.4375
98,0.98,1024,1016,1980,1977,1,0,1,27.3161295674845,27.102722305238526,48.33984375
99,0.99,1024,1018,1984,1977,1,0,1,27.3161295674845,27.156074120800017,48.4375
100,1.0,1024,1015,1982,1977,1,0,1,27.3161295674845,27.07604639745778,48.388671875
101,1.01,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
102,1.02,1024,1020,1984,1977,1,0,1,27.3161295674845,27.209425936361512,48.4375
103,1.03,1024,1015,1980,1977,1,0,1,27.3161295674845,27.07604639745778,48.33984375
104,1.04,1024,1018,1985,1977,1,0,1,27.3161295674845,27.156074120800017,48.4619140625
105,1.05,1024,1018,1982,1977,1,0,1,27.3161295674845,27.156074120800017,48.388671875
106,1.06,1024,1016,1982,1977,1,0,1,27.3161295674845,27.102722305238526,48.388671875
107,1.07,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
108,1.08,1024,1015,1983,1977,1,0,1,27.3161295674845,27.07604639745778,48.4130859375
109,1.09,1024,1017,1985,1977,1,0,1,27.3161295674845,27.12939821301927,48.4619140625
110,1.1,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
111,1.11,1024,1016,1982,1977,1,0,1,27.3161295674845,27.102722305238526,48.388671875
112,1.12,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
113,1.13,1024,1015,1983,1977,1,0,1,27.3161295674845,27.07604639745778,48.4130859375
114,1.14,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
115,1.15,1024,1018,1984,1977,1,0,1,27.3161295674845,27.156074120800017,48.4375
116,1.16,1024,1016,1982,1977,1,0,1,27.3161295674845,27.102722305238526,48.388671875
117,1.17,1024,1016,1984,1977,1,0,1,27.3161295674845,27.102722305238526,48.4375
118,1.18,1024,1015,1984,1977,1,0,1,27.3161295674845,27.07604639745778,48.4375
119,1.19,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
120,1.2,1024,1015,1984,1977,1,0,1,27.3161295674845,27.07604639745778,48.4375
121,1.21,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
122,1.22,1024,1014,1984,1977,1,0,1,27.3161295674845,27.04937048967703,48.4375
123,1.23,1024,1015,1985,1977,1,0,1,27.3161295674845,27.07604639745778,48.4619140625
124,1.24,1024,1019,1985,1977,1,0,1,27.3161295674845,27.182750028580767,48.4619140625
125,1.25,1024,1015,1981,1977,1,0,1,27.3161295674845,27.07604639745778,48.3642578125
126,1.26,1024,1018,1985,1977,1,0,1,27.3161295674845,27.156074120800017,48.4619140625
127,1.27,1024,1014,1982,1977,1,0,1,27.3161295674845,27.04937048967703,48.388671875
128,1.28,1024,1015,1985,1977,1,0,1,27.3161295674845,27.07604639745778,48.4619140625
129,1.29,1024,1019,1985,1977,1,0,1,27.3161295674845,27.182750028580767,48.4619140625
130,1.3,1024,1015,1981,1977,1,0,1,27.3161295674845,27.07604639745778,48.3642578125
131,1.31,1024,1017,1985,1977,1,0,1,27.3161295674845,27.12939821301927,48.4619140625
132,1.32,1024,1013,1983,1977,1,0,1,27.3161295674845,27.022694581896285,48.4130859375
133,1.33,1024,1015,1986,1977,1,0,1,27.3161295674845,27.07604639745778,48.486328125
134,1.34,1024,1018,1985,1977,1,0,1,27.3161295674845,27.156074120800017,48.4619140625
135,1.35,1024,1013,1982,1977,1,0,1,27.3161295674845,27.022694581896285,48.388671875
136,1.36,1024,1017,1986,1977,1,0,1,27.3161295674845,27.12939821301927,48.486328125
137,1.37,1024,1016,1983,1977,1,0,1,27.3161295674845,27.102722305238526,48.4130859375
138,1.38,1024,1015,1984,1977,1,0,1,27.3161295674845,27.07604639745778,48.4375
139,1.39,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
140,1.4,1024,1014,1984,1977,1,0,1,27.3161295674845,27.04937048967703,48.4375
141,1.41,1024,1016,1985,1977,1,0,1,27.3161295674845,27.102722305238526,48.4619140625
142,1.42,1024,1018,1984,1977,1,0,1,27.3161295674845,27.156074120800017,48.4375
143,1.43,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
144,1.44,1024,1017,1983,1977,1,0,1,27.3161295674845,27.12939821301927,48.4130859375
145,1.45,1024,1015,1983,1977,1,0,1,27.3161295674845,27.07604639745778,48.4130859375
146,1.46,1024,1017,1985,1977,1,0,1,27.3161295674845,27.12939821301927,48.4619140625
147,1.47,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
148,1.48,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
149,1.49,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
150,1.5,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
151,1.51,1024,1017,1983,1977,1,0,1,27.3161295674845,27.12939821301927,48.4130859375
152,1.52,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
153,1.53,1024,1018,1982,1977,1,0,1,27.3161295674845,27.156074120800017,48.388671875
154,1.54,1024,1016,1982,1977,1,0,1,27.3161295674845,27.102722305238526,48.388671875
155,1.55,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
156,1.56,1024,1021,1983,1977,1,0,1,27.3161295674845,27.236101844142258,48.4130859375
157,1.57,1024,1018,1979,1977,1,0,1,27.3161295674845,27.156074120800017,48.3154296875
158,1.58,1024,1020,1982,1977,1,0,1,27.3161295674845,27.209425936361512,48.388671875
159,1.59,1024,1016,1980,1977,1,0,1,27.3161295674845,27.102722305238526,48.33984375
160,1.6,1024,1018,1984,1977,1,0,1,27.3161295674845,27.156074120800017,48.4375
161,1.61,1024,1021,1982,1977,1,0,1,27.3161295674845,27.236101844142258,48.388671875
162,1.62,1024,1017,1979,1977,1,0,1,27.3161295674845,27.12939821301927,48.3154296875
163,1.63,1024,1021,1983,1977,1,0,1,27.3161295674845,27.236101844142258,48.4130859375
164,1.64,1024,1020,1979,1977,1,0,1,27.3161295674845,27.209425936361512,48.3154296875
165,1.65,1024,1018,1980,1977,1,0,1,27.3161295674845,27.156074120800017,48.33984375
166,1.66,1024,1019,1982,1977,1,0,1,27.3161295674845,27.182750028580767,48.388671875
167,1.67,1024,1017,1981,1977,1,0,1,27.3161295674845,27.12939821301927,48.3642578125
168,1.68,1024,1020,1983,1977,1,0,1,27.3161295674845,27.209425936361512,48.4130859375
169,1.69,1024,1020,1980,1977,1,0,1,27.3161295674845,27.209425936361512,48.33984375
170,1.7,1024,1018,1980,1977,1,0,1,27.3161295674845,27.156074120800017,48.33984375
171,1.71,1024,1019,1982,1977,1,0,1,27.3161295674845,27.182750028580767,48.388671875
172,1.72,1024,1017,1981,1977,1,0,1,27.3161295674845,27.12939821301927,48.3642578125
173,1.73,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
174,1.74,1024,1020,1982,1977,1,0,1,27.3161295674845,27.209425936361512,48.388671875
175,1.75,1024,1019,1980,1977,1,0,1,27.3161295674845,27.182750028580767,48.33984375
176,1.76,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
177,1.77,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
178,1.78,1024,1019,1981,1977,1,0,1,27.3161295674845,27.182750028580767,48.3642578125
179,1.79,1024,1018,1981,1977,1,0,1,27.3161295674845,27.156074120800017,48.3642578125
180,1.8,1024,1019,1982,1977,1,0,1,27.3161295674845,27.182750028580767,48.388671875
181,1.81,1024,1017,1981,1977,1,0,1,27.3161295674845,27.12939821301927,48.3642578125
182,1.82,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
183,1.83,1024,1022,1982,1977,1,0,1,27.3161295674845,27.262777751923004,48.388671875
184,1.84,1024,1018,1978,1977,1,0,1,27.3161295674845,27.156074120800017,48.291015625
185,1.85,1024,1020,1982,1977,1,0,1,27.3161295674845,27.209425936361512,48.388671875
186,1.86,1024,1016,1980,1977,1,0,1,27.3161295674845,27.102722305238526,48.33984375
187,1.87,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
188,1.88,1024,1021,1983,1977,1,0,1,27.3161295674845,27.236101844142258,48.4130859375
189,1.89,1024,1016,1979,1977,1,0,1,27.3161295674845,27.102722305238526,48.3154296875
190,1.9,1024,1020,1984,1977,1,0,1,27.3161295674845,27.209425936361512,48.4375
191,1.91,1024,1019,1980,1977,1,0,1,27.3161295674845,27.182750028580767,48.33984375
192,1.92,1024,1017,1981,1977,1,0,1,27.3161295674845,27.12939821301927,48.3642578125
193,1.93,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
194,1.94,1024,1016,1982,1977,1,0,1,27.3161295674845,27.102722305238526,48.388671875
195,1.95,1024,1020,1984,1977,1,0,1,27.3161295674845,27.209425936361512,48.4375
196,1.96,1024,1019,1980,1977,1,0,1,27.3161295674845,27.182750028580767,48.33984375
197,1.97,1024,1017,1981,1977,1,0,1,27.3161295674845,27.12939821301927,48.3642578125
198,1.98,1024,1017,1983,1977,1,0,1,27.3161295674845,27.12939821301927,48.4130859375
199,1.99,1024,1016,1983,1977,1,0,1,27.3161295674845,27.102722305238526,48.4130859375
200,2.0,1024,1017,1984,1977,1,0,1,27.3161295674845,27.12939821301927,48.4375
201,2.01,1024,1019,1983,1977,1,0,1,27.3161295674845,27.182750028580767,48.4130859375
202,2.02,1024,1017,1981,1977,1,0,1,27.3161295674845,27.12939821301927,48.3642578125
203,2.03,1024,1018,1983,1977,1,0,1,27.3161295674845,27.156074120800017,48.4130859375
204,2.04,1024,1017,1982,1977,1,0,1,27.3161295674845,27.12939821301927,48.388671875
