sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
0,0.0,1024,1010,2027,2014,1,0,1,27.3161295674845,26.942666858554045,49.4873046875
1,0.01,1024,1009,2026,2014,1,0,1,27.3161295674845,26.9159909507733,49.462890625
2,0.02,1024,1009,2027,2014,1,0,1,27.3161295674845,26.9159909507733,49.4873046875
3,0.03,1024,1009,2027,2014,1,0,1,27.3161295674845,26.9159909507733,49.4873046875
4,0.04,1024,1009,2027,2014,1,0,1,27.3161295674845,26.9159909507733,49.4873046875
5,0.05,1024,1011,2027,2014,1,0,1,27.3161295674845,26.969342766334794,49.4873046875
6,0.06,1024,1010,2025,2014,1,0,1,27.3161295674845,26.942666858554045,49.4384765625
7,0.07,1024,1010,2026,2014,1,0,1,27.3161295674845,26.942666858554045,49.462890625
8,0.08,1024,1009,2026,2014,1,0,1,27.3161295674845,26.9159909507733,49.462890625
9,0.09,1024,1010,2027,2014,1,0,1,27.3161295674845,26.942666858554045,49.4873046875
10,0.1,1024,1010,2026,2014,1,0,1,27.3161295674845,26.942666858554045,49.462890625
11,0.11,1024,1011,2026,2014,1,0,1,27.3161295674845,26.969342766334794,49.462890625
12,0.12,1024,1011,2025,2014,1,0,1,27.3161295674845,26.969342766334794,49.4384765625
13,0.13,1024,1010,2025,2014,1,0,1,27.3161295674845,26.942666858554045,49.4384765625
14,0.14,1024,1011,2026,2014,1,0,1,27.3161295674845,26.969342766334794,49.462890625
15,0.15,1024,1011,2025,2014,1,0,1,27.3161295674845,26.969342766334794,49.4384765625
16,0.16,1024,1011,2025,2014,1,0,1,27.3161295674845,26.969342766334794,49.4384765625
17,0.17,1024,1010,2025,2014,1,0,1,27.3161295674845,26.942666858554045,49.4384765625
18,0.18,1024,1011,2026,2014,1,0,1,27.3161295674845,26.969342766334794,49.462890625
19,0.19,1024,1015,2025,2014,1,0,1,27.3161295674845,27.07604639745778,49.4384765625
20,0.2,1024,1011,2022,2014,1,0,1,27.3161295674845,26.969342766334794,49.365234375
21,0.21,1024,1014,2025,2014,1,0,1,27.3161295674845,27.04937048967703,49.4384765625
22,0.22,1024,1011,2022,2014,1,0,1,27.3161295674845,26.969342766334794,49.365234375
23,0.23,1024,1013,2025,2014,1,0,1,27.3161295674845,27.022694581896285,49.4384765625
24,0.24,1024,1016,2023,2014,1,0,1,27.3161295674845,27.102722305238526,49.3896484375
25,0.25,1024,1012,2021,2014,1,0,1,27.3161295674845,26.99601867411554,49.3408203125
26,0.26,1024,1015,2024,2014,1,0,1,27.3161295674845,27.07604639745778,49.4140625
27,0.27,1024,1011,2022,2014,1,0,1,27.3161295674845,26.969342766334794,49.365234375
28,0.28,1024,1012,2025,2014,1,0,1,27.3161295674845,26.99601867411554,49.4384765625
29,0.29,1024,1017,2024,2014,1,0,1,27.3161295674845,27.12939821301927,49.4140625
30,0.3,1024,1013,2020,2014,1,0,1,27.3161295674845,27.022694581896285,49.31640625
31,0.31,1024,1017,2023,2014,1,0,1,27.3161295674845,27.12939821301927,49.3896484375
