sample,time_s,reference_q12,measured_q12,duty_q12,integral_q12,armed,fault,enabled,target_rpm,measured_rpm,duty_percent
0,0.0,1024,1137,2125,2023,1,0,1,27.3161295674845,30.33050714670886,51.8798828125
1,0.01,1024,910,1914,2016,1,0,1,27.3161295674845,24.275076080479387,46.728515625
2,0.02,1024,1137,2124,2022,1,0,1,27.3161295674845,30.33050714670886,51.85546875
3,0.03,1024,910,1913,2015,1,0,1,27.3161295674845,24.275076080479387,46.7041015625
4,0.04,1024,1137,2123,2021,1,0,1,27.3161295674845,30.33050714670886,51.8310546875
5,0.05,1024,910,1912,2014,1,0,1,27.3161295674845,24.275076080479387,46.6796875
6,0.06,1024,1137,2122,2020,1,0,1,27.3161295674845,30.33050714670886,51.806640625
7,0.07,1024,910,1911,2013,1,0,1,27.3161295674845,24.275076080479387,46.6552734375
8,0.08,1024,1137,2121,2019,1,0,1,27.3161295674845,30.33050714670886,51.7822265625
9,0.09,1024,910,1910,2012,1,0,1,27.3161295674845,24.275076080479387,46.630859375
10,0.1,1024,910,2120,2018,1,0,1,27.3161295674845,24.275076080479387,51.7578125
11,0.11,1024,1137,2126,2024,1,0,1,27.3161295674845,30.33050714670886,51.904296875
12,0.12,1024,910,1915,2017,1,0,1,27.3161295674845,24.275076080479387,46.7529296875
13,0.13,1024,1137,2125,2023,1,0,1,27.3161295674845,30.33050714670886,51.8798828125
14,0.14,1024,910,1914,2016,1,0,1,27.3161295674845,24.275076080479387,46.728515625
15,0.15,1024,1137,2124,2022,1,0,1,27.3161295674845,30.33050714670886,51.85546875
16,0.16,1024,910,1913,2015,1,0,1,27.3161295674845,24.275076080479387,46.7041015625
17,0.17,1024,1137,2123,2021,1,0,1,27.3161295674845,30.33050714670886,51.8310546875
18,0.18,1024,910,1912,2014,1,0,1,27.3161295674845,24.275076080479387,46.6796875
19,0.19,1024,1137,2122,2020,1,0,1,27.3161295674845,30.33050714670886,51.806640625
20,0.2,1024,910,1911,2013,1,0,1,27.3161295674845,24.275076080479387,46.6552734375
21,0.21,1024,910,2121,2019,1,0,1,27.3161295674845,24.275076080479387,51.7822265625
22,0.22,1024,1137,2127,2025,1,0,1,27.3161295674845,30.33050714670886,51.9287109375
23,0.23,1024,910,1916,2018,1,0,1,27.3161295674845,24.275076080479387,46.77734375
24,0.24,1024,1137,2126,2024,1,0,1,27.3161295674845,30.33050714670886,51.904296875
25,0.25,1024,910,1915,2017,1,0,1,27.3161295674845,24.275076080479387,46.7529296875
26,0.26,1024,1137,2125,2023,1,0,1,27.3161295674845,30.33050714670886,51.8798828125
27,0.27,1024,910,1914,2016,1,0,1,27.3161295674845,24.275076080479387,46.728515625
28,0.28,1024,1137,2124,2022,1,0,1,27.3161295674845,30.33050714670886,51.85546875
29,0.29,1024,910,1913,2015,1,0,1,27.3161295674845,24.275076080479387,46.7041015625
30,0.3,1024,1137,2123,2021,1,0,1,27.3161295674845,30.33050714670886,51.8310546875
31,0.31,1024,910,1912,2014,1,0,1,27.3161295674845,24.275076080479387,46.6796875
32,0.32,1024,910,2122,2020,1,0,1,27.3161295674845,24.275076080479387,51.806640625
33,0.33,1024,1137,2128,2026,1,0,1,27.3161295674845,30.33050714670886,51.953125
34,0.34,1024,910,1917,2019,1,0,1,27.3161295674845,24.275076080479387,46.8017578125
35,0.35,1024,1137,2127,2025,1,0,1,27.3161295674845,30.33050714670886,51.9287109375
36,0.36,1024,910,1916,2018,1,0,1,27.3161295674845,24.275076080479387,46.77734375
37,0.37,1024,1137,2126,2024,1,0,1,27.3161295674845,30.33050714670886,51.904296875
38,0.38,1024,910,1915,2017,1,0,1,27.3161295674845,24.275076080479387,46.7529296875
39,0.39,1024,1137,2125,2023,1,0,1,27.3161295674845,30.33050714670886,51.8798828125
40,0.4,1024,910,1914,2016,1,0,1,27.3161295674845,24.275076080479387,46.728515625
41,0.41,1024,1137,2124,2022,1,0,1,27.3161295674845,30.33050714670886,51.85546875
42,0.42,1024,910,1913,2015,1,0,1,27.3161295674845,24.275076080479387,46.7041015625
