k,reference,load,y_before,duty,y_after,integral,derivative
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,2458,0,0,2359,153,147,0
21,2458,0,153,2359,297,285,38
22,2458,0,297,2358,431,414,64
23,2458,0,431,2359,556,535,81
24,2458,0,556,2360,673,649,92
25,2458,0,673,2362,783,756,98
26,2458,0,783,2363,886,856,101
27,2458,0,886,2364,982,950,101
28,2458,0,982,2366,1072,1038,99
29,2458,0,1072,2368,1156,1121,96
30,2458,0,1156,2370,1235,1199,93
31,2458,0,1235,2372,1309,1272,89
32,2458,0,1309,2374,1378,1340,85
33,2458,0,1378,2375,1443,1404,81
34,2458,0,1443,2377,1503,1464,77
35,2458,0,1503,2380,1560,1521,72
36,2458,0,1560,2382,1613,1574,68
37,2458,0,1613,2384,1663,1624,64
38,2458,0,1663,2386,1710,1671,60
39,2458,0,1710,2388,1754,1715,56
40,2458,0,1754,2390,1795,1757,53
41,2458,0,1795,2392,1833,1796,50
42,2458,0,1833,2395,1869,1833,47
43,2458,0,1869,2398,1903,1868,44
44,2458,0,1903,2400,1935,1901,41
45,2458,0,1935,2402,1965,1932,38
46,2458,0,1965,2404,1993,1961,36
47,2458,0,1993,2406,2019,1988,34
48,2458,0,2019,2409,2044,2014,32
49,2458,0,2044,2410,2067,2038,30
50,2458,0,2067,2412,2089,2061,28
51,2458,0,2089,2415,2110,2083,26
52,2458,0,2110,2416,2129,2103,24
53,2458,0,2129,2418,2147,2122,22
54,2458,0,2147,2419,2164,2140,21
55,2458,0,2164,2421,2180,2157,20
56,2458,0,2180,2423,2195,2173,19
57,2458,0,2195,2424,2209,2188,18
58,2458,0,2209,2426,2223,2202,17
59,2458,0,2223,2427,2236,2216,16
60,2458,0,2236,2428,2248,2229,15
61,2458,0,2248,2429,2259,2241,14
62,2458,0,2259,2431,2270,2252,13
63,2458,0,2270,2432,2280,2263,12
64,2458,0,2280,2433,2289,2273,11
65,2458,0,2289,2435,2298,2283,10
66,2458,0,2298,2435,2306,2292,9
67,2458,0,2306,2437,2314,2301,8
68,2458,0,2314,2438,2322,2309,8
69,2458,0,2322,2439,2329,2317,8
70,2458,0,2329,2440,2336,2324,7
71,2458,0,2336,2440,2342,2331,7
72,2458,0,2342,2441,2348,2337,6
73,2458,0,2348,2441,2354,2343,6
74,2458,0,2354,2442,2359,2349,6
75,2458,0,2359,2443,2364,2354,5
